filename	c	k	n	row_size_histogram	sha256
splitters/splitter_c11_k3_n66.rows.txt	11	3	66	6:66	1deae87a08ebb5f9c578734dd659ad33fd831e33e7ca3c75a403954ccae5cbe9
splitters/splitter_c12_k3_n98.rows.txt	12	3	98	3:1 5:12 6:72 7:12 9:1	1d5806d17313d0b42ba080799beb10a0c95d65807616b6edece4d201ccd26ebb
splitters/splitter_c13_k3_n112.rows.txt	13	3	112	7:24 8:54 9:30 10:4	ef4429bbeb9308fc5ae96a6b284845fc9a8a6baf076a024c8573eaa683cddf36
splitters/splitter_c11_k4_n262.rows.txt	11	4	262	4:10 5:190 6:62	aa86337c57d2bd319b2482ffdf6f9fc937c6c81b9c3cc963805954093e16c041
splitters/splitter_c12_k4_n307.rows.txt	12	4	307	6:160 7:132 8:15	144031f18258320cfd6d0ff0fe9a9b24c1625a99f6466e90fbc0db25d2f9d440
splitters/splitter_c13_k4_n377.rows.txt	13	4	377	5:1 6:229 7:133 8:14	0f03d0c17cd4edaaec00e9275029c613d7cc2574d60997346a8647af6a38346e
splitters/splitter_c14_k4_n407.rows.txt	14	4	407	5:112 6:231 7:64	f2f0bf86bb0756088c23308d44203a6b689e74fd9433adc52bb4665d181f327f
splitters/splitter_c15_k4_n415.rows.txt	15	4	415	6:280 7:135	056cc626b6b2091dc5a2efca3c6bfd5b0de94a839329a4c14e4151dc5a7b9f25
splitters/splitter_c16_k4_n576.rows.txt	16	4	576	6:336 7:240	e89c1bd9192d741b9b7a5d7c4d8f3c9d19fb56c437cd73cfbbb9be754270ebf3
splitters/splitter_c15_k5_n1933.rows.txt	15	5	1933	6:805 8:960 10:168	ac8c373b77ddb1ec2714f0e6b2bdcf89947351b88ff5a45eaaa1436fd52de6c8
splitters/splitter_c16_k5_n1933.rows.txt	16	5	1933	7:805 8:960 10:168	145b7e48ca8c868d80d5de58ff24af2d35f0e034e9d853c0bdc0f952ec25f0ad
splitters/splitter_c17_k5_n2618.rows.txt	17	5	2618	8:1258 9:1360	ea90dda972a113320a581cb1d84c59131a2fa785805aac087a9c42bb354ac23e
splitters/splitter_c18_k5_n2856.rows.txt	18	5	2856	9:2856	13a651cfef74c54893b2aef8a75b078d50083e447607af3c49cdb8551c2b3825
splitters/splitter_c19_k5_n3338.rows.txt	19	5	3338	9:926 10:1728 11:684	5efb2507049d45f6b9422cf7b4b905e4d417dfe287f962b162308655be838685
splitters/splitter_c20_k5_n3382.rows.txt	20	5	3382	10:1900 11:1482	6e57c4119e12c804caadfc5d8ff666912d73f392da5f2f36ad72cee6c830985c
splitters/splitter_c19_k6_n10402.rows.txt	19	6	10402	6:448 7:1092 8:1728 9:1936 10:2112 11:1638 12:832 13:616	f71f2041784fc307550d7134b78be602bce43facdd0c8c173968d1a7f73a8b5f
splitters/splitter_c20_k6_n10754.rows.txt	20	6	10754	10:10754	28585920357de571575790e70b49aec1e21323abef280ec0636f6d69740839b5
splitters/splitter_c21_k6_n11930.rows.txt	21	6	11930	7:1080 9:3640 11:4368 13:1890 15:952	ebfdd7279cd3c81eea506a8ed7dac63bb7d13a3670fe19a47f5a7de44c05a53c
splitters/splitter_c22_k6_n14175.rows.txt	22	6	14175	6:413 8:1080 9:80 10:3880 11:4042 12:1576 13:2017 14:15 15:1072	61c78fc1ab946aa4598befd76eb6403686154e3c47401249e45432a129edcdfa
splitters/splitter_c23_k6_n21068.rows.txt	23	6	21068	11:713 12:20355	5a54f4f8ae51996b68f32ecd88fbac0aa55c71b623420308805822579bc3df07
