c	k	n	raw_E	raw_base_2_to_E
11	3	66	1.972683226819638	3.924974352460000
12	3	98	2.003465764388840	4.009620690451000
13	3	112	2.013680782178879	4.038111599039000
11	4	262	1.998548968446669	3.995978908782000
12	4	307	1.988961937363891	3.969512769671000
13	4	377	1.988793020251002	3.969048028776000
14	4	407	1.985754104494722	3.960696362076000
15	4	415	1.983972235511130	3.955807535761000
16	4	576	2.001043703590034	4.002894807787000
15	5	1933	1.996642526901904	3.990701931489000
16	5	1933	1.986911942178551	3.963876302433000
17	5	2618	1.993778871392398	3.982788504994000
18	5	2856	1.994396115148155	3.984492868863000
19	5	3338	2.000011064765975	4.000030678163000
20	5	3382	2.002473116745927	4.006862816154000
19	6	10402	1.988010819193524	3.966896671764000
20	6	10754	1.985521558077324	3.960057993262000
21	6	11930	1.987349907431603	3.965079816394000
22	6	14175	1.992409316705440	3.979009426067000
23	6	21068	2.003539178136566	4.009824731335000
